,window_size,k_neighbors,model,basin,sense (mean)
0,11,10,lstm_ensemble,01022500,0.8702756147375024
1,11,10,lstm_ensemble,01031500,0.9525598482602171
2,11,10,lstm_ensemble,01047000,0.9392644488932957
3,11,10,lstm_ensemble,01052500,0.8353916429654643
4,11,10,lstm_ensemble,01055000,0.902249563268575
5,11,10,lstm_ensemble,01057000,0.9457925877249281
6,11,10,lstm_ensemble,01073000,0.8769025332871081
7,11,10,lstm_ensemble,01078000,0.9322535902695825
8,11,10,lstm_ensemble,01123000,0.9557498057187787
9,11,10,lstm_ensemble,01137500,-0.10755247719225758
10,11,10,lstm_ensemble,01139800,0.7810363137951981
11,11,10,lstm_ensemble,01142500,0.9375083389800561
12,11,10,lstm_ensemble,01144000,0.9092310390697782
13,11,10,lstm_ensemble,01169000,0.896165998499225
14,11,10,lstm_ensemble,01170100,0.899297311984035
15,11,10,lstm_ensemble,01181000,0.8542349095527697
16,11,10,lstm_ensemble,01187300,0.9407059091335352
17,11,10,lstm_ensemble,01195100,0.9194728746393804
18,11,10,lstm_ensemble,01333000,0.9398602945790734
19,11,10,lstm_ensemble,01350000,0.8647084795736036
20,11,10,lstm_ensemble,01350080,0.9556018354847836
21,11,10,lstm_ensemble,01365000,0.7729578415812348
22,11,10,lstm_ensemble,01411300,0.9625726348020173
23,11,10,lstm_ensemble,01413500,0.9283585962373373
24,11,10,lstm_ensemble,01414500,0.8767082363825439
25,11,10,lstm_ensemble,01415000,0.9533790382908425
26,11,10,lstm_ensemble,01423000,0.9765974560416366
27,11,10,lstm_ensemble,01434025,0.7910536855344419
28,11,10,lstm_ensemble,01435000,0.7368540232390588
29,11,10,lstm_ensemble,01439500,0.9476246627579366
30,11,10,lstm_ensemble,01440000,0.8653571745293206
31,11,10,lstm_ensemble,01440400,0.8985977455402636
32,11,10,lstm_ensemble,01451800,0.8473366540154318
33,11,10,lstm_ensemble,01484100,0.9595408091567755
34,11,10,lstm_ensemble,01491000,0.9797034775538813
35,11,10,lstm_ensemble,01510000,0.9640385638146671
36,11,10,lstm_ensemble,01516500,0.9492704221800331
